ticker,baseline_mean_accuracy,fold_accuracies,advanced_rf_mean_accuracy
POWERGRID,0.4982885085574572,"[0.5207823960880196, 0.48655256723716384, 0.5207823960880196, 0.4792176039119804, 0.4841075794621027]",0.5144254278728606
RELIANCE,0.5090464547677263,"[0.49144254278728605, 0.4938875305623472, 0.5281173594132029, 0.511002444987775, 0.5207823960880196]",0.4875305623471883
SBIN,0.4889975550122249,"[0.4938875305623472, 0.48166259168704156, 0.4841075794621027, 0.5036674816625917, 0.48166259168704156]",0.5007334963325183
SHREECEM,0.512958435207824,"[0.5134474327628362, 0.5183374083129584, 0.5207823960880196, 0.5158924205378973, 0.4963325183374083]",0.5124694376528117
SUNPHARMA,0.4929095354523227,"[0.4669926650366748, 0.5427872860635696, 0.46943765281173594, 0.46454767726161367, 0.5207823960880196]",0.5007334963325183
TATAMOTORS,0.5095354523227383,"[0.49877750611246946, 0.5183374083129584, 0.5036674816625917, 0.5378973105134475, 0.4889975550122249]",0.49584352078239613
TATASTEEL,0.4938875305623472,"[0.4963325183374083, 0.49144254278728605, 0.5061124694376528, 0.5281173594132029, 0.4474327628361858]",0.5046454767726162
TCS,0.5178484107579462,"[0.5403422982885085, 0.5012224938875306, 0.5036674816625917, 0.5330073349633252, 0.511002444987775]",0.5080684596577016
TECHM,0.5193154034229829,"[0.5476772616136919, 0.4889975550122249, 0.49877750611246946, 0.5232273838630807, 0.5378973105134475]",0.4963325183374083
TITAN,0.4973105134474328,"[0.4938875305623472, 0.4841075794621027, 0.508557457212714, 0.46454767726161367, 0.5354523227383863]",0.5320293398533007
ULTRACEMCO,0.4997555012224939,"[0.4669926650366748, 0.508557457212714, 0.5330073349633252, 0.5012224938875306, 0.4889975550122249]",0.4982885085574572
UPL,0.512958435207824,"[0.5501222493887531, 0.5158924205378973, 0.49877750611246946, 0.5158924205378973, 0.4841075794621027]",0.4836185819070905
VEDL,0.4850855745721271,"[0.5281173594132029, 0.5330073349633252, 0.4621026894865526, 0.45232273838630804, 0.44987775061124696]",0.5036674816625917
WIPRO,0.5246943765281173,"[0.5256723716381418, 0.5232273838630807, 0.5330073349633252, 0.511002444987775, 0.530562347188264]",0.5188264058679707
ZEEL,0.4909535452322737,"[0.5061124694376528, 0.5036674816625917, 0.46454767726161367, 0.4767726161369193, 0.5036674816625917]",0.5002444987775061
